start,end,x,x_value,w,w_value,v,v_value,u,u_value,d,e,g,segment,diff
-1.9,1.0,-0.44999999999999996,-0.7077374999999999,-0.44999999999999996,-0.7077374999999999,-0.44999999999999996,-0.7077374999999999,-0.44999999999999996,-0.7077374999999999,2.9,2.9,2.9,2.9,-
-1.9,-0.44999999999999996,-1.0038507163126522,-3.0153580381716054,-0.44999999999999996,-0.7077374999999999,-0.44999999999999996,-0.7077374999999999,-1.0038507163126522,-3.0153580381716054,1.45,1.45,2.9,1.45,0.5
-1.9,-1.0038507163126522,-1.3461492836873472,-3.7475735684638956,-1.0038507163126522,-3.0153580381716054,-0.44999999999999996,-0.7077374999999999,-1.3461492836873472,-3.7475735684638956,0.8961492836873477,0.8961492836873477,1.45,0.8961492836873477,0.618033988749895
-1.6477669481469772,-1.0038507163126522,-1.3461492836873472,-3.7475735684638956,-1.0038507163126522,-3.0153580381716054,-1.6477669481469772,-2.3493041102302445,-1.6477669481469772,-2.3493041102302445,0.0,0.0,0.8961492836873477,0.643916231834325,0.718536792424617
-1.6477669481469772,-1.2154028652506097,-1.3461492836873472,-3.7475735684638956,-1.2154028652506097,-3.65814457340322,-1.0038507163126522,-3.0153580381716054,-1.2154028652506097,-3.65814457340322,0.342298567374695,0.342298567374695,0.0,0.4323640828963675,0.6714601395661224
-1.4613569799035646,-1.2154028652506097,-1.3461492836873472,-3.7475735684638956,-1.2154028652506097,-3.65814457340322,-1.4613569799035646,-3.5270669352637327,-1.4613569799035646,-3.5270669352637327,0.30161766445963,0.30161766445963,0.342298567374695,0.2459541146529549,0.5688588029915222
-1.3461492836873472,-1.2154028652506097,-1.2962085957518295,-3.7502841136506584,-1.3461492836873472,-3.7475735684638956,-1.2154028652506097,-3.65814457340322,-1.2962085957518295,-3.7502841136506584,0.1307464184367375,0.1307464184367375,0.30161766445963,0.1307464184367375,0.5315886608411603
-1.3461492836873472,-1.2962085957518295,-1.3182086216174953,-3.7552338754572503,-1.2962085957518295,-3.7502841136506584,-1.3461492836873472,-3.7475735684638956,-1.3182086216174953,-3.7552338754572503,0.0,0.0,0.1307464184367375,0.04994068793551776,0.38196601125010454
-1.3461492836873472,-1.3182086216174953,-1.3184637913323762,-3.7552358717549703,-1.3182086216174953,-3.7552338754572503,-1.2962085957518295,-3.7502841136506584,-1.3184637913323762,-3.7552358717549703,0.0,0.0,0.0,0.027940662069851907,0.5594769160154188
-1.3290387084166997,-1.3182086216174953,-1.3184637913323762,-3.7552358717549703,-1.3182086216174953,-3.7552338754572503,-1.3290387084166997,-3.75416900104326,-1.3290387084166997,-3.75416900104326,0.027685492354970975,0.027685492354970975,0.0,0.010830086799204386,0.38761024245342046
-1.3225030502303758,-1.3182086216174953,-1.3184637913323762,-3.7552358717549703,-1.3182086216174953,-3.7552338754572503,-1.3225030502303758,-3.755094325942654,-1.3225030502303758,-3.755094325942654,0.010574917084323454,0.010574917084323454,0.027685492354970975,0.004294428612880541,0.3965276264633469
-1.3200066509420516,-1.3182086216174953,-1.3184637913323762,-3.7552358717549703,-1.3182086216174953,-3.7552338754572503,-1.3200066509420516,-3.755220310996667,-1.3200066509420516,-3.755220310996667,0.004039258897999609,0.004039258897999609,0.010574917084323454,0.001798029324556305,0.4186888377101825
-1.3190531112634027,-1.3182086216174953,-1.3184637913323762,-3.7552358717549703,-1.3190531112634027,-3.7552355292728974,-1.3182086216174953,-3.7552338754572503,-1.3190531112634027,-3.7552355292728974,0.0015428596096753733,0.0015428596096753733,0.004039258897999609,0.0008444896459074425,0.4696751239670882
-1.3190531112634027,-1.3184637913323762,-1.3186888915157806,-3.7552365572183524,-1.3184637913323762,-3.7552358717549703,-1.3190531112634027,-3.7552355292728974,-1.3186888915157806,-3.7552365572183524,0.0005893199310265107,0.0005893199310265107,0.0015428596096753733,0.0005893199310265107,0.6978415115951596
-1.3190531112634027,-1.3186888915157806,-1.3187292664820411,-3.7552365734782382,-1.3186888915157806,-3.7552365572183524,-1.3184637913323762,-3.7552358717549703,-1.3187292664820411,-3.7552365734782382,0.0,0.0,0.0005893199310265107,0.00036421974762212983,0.6180339887498991
-1.3187392664820412,-1.3186888915157806,-1.3187292664820411,-3.7552365734782382,-1.3187392664820412,-3.755236572490163,-1.3186888915157806,-3.7552365572183524,-1.3187392664820412,-3.755236572490163,0.0,0.0,0.0,5.0374966260591236e-05,0.1383092668354001
-1.3187392664820412,-1.3187138446172242,-1.3187292664820411,-3.7552365734782382,-1.3187392664820412,-3.755236572490163,-1.3187138446172242,-3.7552365710987035,-1.3187138446172242,-3.7552365710987035,4.0374966260525724e-05,4.0374966260525724e-05,0.0,2.5421864817021245e-05,0.5046527413142703
-1.3187392664820412,-1.318719266482041,-1.3187292664820411,-3.7552365734782382,-1.3187392664820412,-3.755236572490163,-1.318719266482041,-3.7552365724750763,-1.318719266482041,-3.7552365724750763,1.5421864816955733e-05,1.5421864816955733e-05,4.0374966260525724e-05,2.0000000000131024e-05,0.7867243470958903
-1.3187392664820412,-1.318719266482041,-1.3187292664820411,-3.7552365734782382,-1.3187392664820412,-3.755236572490163,-1.3187392664820412,-3.755236572490163,-1.3187392664820412,-3.755236572490163,1.0000000000065512e-05,1.0000000000065512e-05,1.5421864816955733e-05,2.0000000000131024e-05,1.0
