start,start_value,end,end_value,pivot,pivot_value,u,u_value,segment,diff
-1.9,1.5161999999999978,1.0,1.0,-0.44999999999999996,-0.7077374999999999,-0.3548128342245993,-0.4353150756744199,2.9,-
-1.9,1.5161999999999978,-0.3548128342245993,-0.4353150756744199,-0.44999999999999996,-0.7077374999999999,-0.9054272091894706,-2.5997919692317524,1.5451871657754006,0.5328231606122071
-1.9,1.5161999999999978,-0.44999999999999996,-0.7077374999999999,-0.9054272091894706,-2.5997919692317524,-1.0409133704347207,-3.158215255892327,1.45,0.9383976466516701
-1.9,1.5161999999999978,-0.9054272091894706,-2.5997919692317524,-1.0409133704347207,-3.158215255892327,-1.1875044463582984,-3.602518279880571,0.9945727908105293,0.685912269524503
-1.9,1.5161999999999978,-1.0409133704347207,-3.158215255892327,-1.1875044463582984,-3.602518279880571,-1.2416576581106225,-3.6999400515989245,0.8590866295652793,0.8637745145482663
-1.9,1.5161999999999978,-1.1875044463582984,-3.602518279880571,-1.2416576581106225,-3.6999400515989245,-1.2805017621016441,-3.7411605018507093,0.7124955536417015,0.8293640351523609
-1.9,1.5161999999999978,-1.2416576581106225,-3.6999400515989245,-1.2805017621016441,-3.7411605018507093,-1.2976655095490428,-3.750898687749486,0.6583423418893775,0.9239950179681311
-1.9,1.5161999999999978,-1.2805017621016441,-3.7411605018507093,-1.2976655095490428,-3.750898687749486,-1.307956609250645,-3.7540918102135707,0.6194982378983558,0.9409971051238434
-1.9,1.5161999999999978,-1.2976655095490428,-3.750898687749486,-1.307956609250645,-3.7540918102135707,-1.3129548585922015,-3.7549062361126335,0.6023344904509571,0.9722941141759716
-1.9,1.5161999999999978,-1.307956609250645,-3.7540918102135707,-1.3129548585922015,-3.7549062361126335,-1.315731875840448,-3.7551473514221287,0.592043390749355,0.9829146431679557
-1.9,1.5161999999999978,-1.3129548585922015,-3.7549062361126335,-1.315731875840448,-3.7551473514221287,-1.3171411808631603,-3.7552114968476813,0.5870451414077984,0.9915576300324369
-1.9,1.5161999999999978,-1.315731875840448,-3.7551473514221287,-1.3171411808631603,-3.7552114968476813,-1.3178993762375637,-3.755229720733947,0.584268124159552,0.9952694996476986
-1.9,1.5161999999999978,-1.3171411808631603,-3.7552114968476813,-1.3178993762375637,-3.755229720733947,-1.3182917355424681,-3.755234667917902,0.5828588191368396,0.9975879138969979
-1.9,1.5161999999999978,-1.3178993762375637,-3.755229720733947,-1.3182917355424681,-3.755234667917902,-1.3184999592191842,-3.755236049893708,0.5821006237624362,0.9986991783438635
-1.9,1.5161999999999978,-1.3182917355424681,-3.755234667917902,-1.3184999592191842,-3.755236049893708,-1.3186086360649256,-3.755236428522723,0.5817082644575318,0.9993259596556203
-1.9,1.5161999999999978,-1.3184999592191842,-3.755236049893708,-1.3186086360649256,-3.755236428522723,-1.318665976091946,-3.7552365335513747,0.5815000407808157,0.9996420479311735
-1.9,1.5161999999999978,-1.3186086360649256,-3.755236428522723,-1.318665976091946,-3.7552365335513747,-1.318696014110014,-3.755236562444683,0.5813913639350743,0.9998131094787276
-1.9,1.5161999999999978,-1.318665976091946,-3.7552365335513747,-1.318696014110014,-3.755236562444683,-1.3187118234306299,-3.755236570435841,0.581334023908054,0.9999013744775427
